"" "si"
"1" 10 -0.0386627661258007
"2" 11 -0.040963476351088
"3" 12 -0.0376183537451088
"4" 13 -0.0366323353863657
"5" 14 -0.0356258868491992
"6" 15 -0.0572668373118788
"7" 16 -0.0549012055567029
"8" 17 -0.0652347720710004
"9" 18 -0.0623368543598138
"10" 19 -0.0602692362082429
"11" 20 -0.0639838864870013
"12" 21 -0.0661154307239298
"13" 22 -0.0647974801462761
"14" 23 -0.0652099456515494
"15" 24 -0.0644529722111274
"16" 25 -0.0627354199402059
"17" 26 -0.0618007089490965
"18" 27 -0.0635648653913457
"19" 28 -0.0622744495228436
"20" 29 -0.0627384351591522
"21" 30 -0.062336089432413
"22" 31 -0.0652484704930878
"23" 32 -0.0650781471084887
"24" 33 -0.0641280859178851
"25" 34 -0.0722551211542372
"26" 35 -0.0715512575349151
"27" 36 -0.0710312934934738
"28" 37 -0.0703143308764784
"29" 38 -0.0688660017397606
"30" 39 -0.0676413475632701
"31" 40 -0.0668259915195562
"32" 41 -0.0656410574118477
"33" 42 -0.0741532311485654
"34" 43 -0.0755808697624394
"35" 44 -0.0746185588222497
"36" 45 -0.0736406659034095
"37" 46 -0.0727771272854228
"38" 47 -0.072812464439932
"39" 48 -0.0721672185067325
"40" 49 -0.0718237608508923
"41" 50 -0.0718224079893389
"42" 51 -0.0712217361995799
"43" 52 -0.0743608289578993
"44" 53 -0.0739008881054285
"45" 54 -0.0740583267851012
"46" 55 -0.0738720525447155
"47" 56 -0.0732680616102669
"48" 57 -0.0760913973262619
"49" 58 -0.0757131661817494
"50" 59 -0.0751127746593062
"51" 60 -0.0754404891123987
"52" 61 -0.0750547770919114
"53" 62 -0.0743938213174341
"54" 63 -0.0738521603436269
"55" 64 -0.0730821970802448
"56" 65 -0.0766934228256791
"57" 66 -0.0762092892363102
"58" 67 -0.0781380615003507
"59" 68 -0.0778928480738533
"60" 69 -0.077485322684302
"61" 70 -0.0770109841326062
"62" 71 -0.076704117041075
"63" 72 -0.0765377751881722
"64" 73 -0.0761321540021104
"65" 74 -0.0758567868535541
"66" 75 -0.0755198360302509
"67" 76 -0.0750612742505423
"68" 77 -0.0749456024082047
"69" 78 -0.074468077600656
"70" 79 -0.0796075198162049
"71" 80 -0.0794303958757942
"72" 81 -0.0788490643038701
"73" 82 -0.0783867490494849
"74" 83 -0.0782911533969462
"75" 84 -0.0780319695206321
"76" 85 -0.0808691256277081
"77" 86 -0.0807355158141483
"78" 87 -0.0840678643344974
"79" 88 -0.0838700408662324
"80" 89 -0.0839225618360511
"81" 90 -0.0833868306536156
"82" 91 -0.0830558416650349
"83" 92 -0.0824062009470762
"84" 93 -0.0837434755965654
"85" 94 -0.0833608758943898
"86" 95 -0.0830975083872127
"87" 96 -0.0851094154526532
"88" 97 -0.0850523429810877
"89" 98 -0.0846903988837492
"90" 99 -0.0846116656092884
"91" 100 -0.0845682181200497
"92" 101 -0.0844426757060902
"93" 102 -0.0843075553210566
"94" 103 -0.0839778541373548
"95" 104 -0.0839107290375216
"96" 105 -0.0835272119440288
"97" 106 -0.0834274329147687
"98" 107 -0.0831636882626817
"99" 108 -0.0830668532891842
"100" 109 -0.0827792217834255
"101" 110 -0.0825709155304677
"102" 111 -0.0827318411790257
"103" 112 -0.0825392269685317
"104" 113 -0.0823886426622348
"105" 114 -0.0822844290237858
"106" 115 -0.0821876309035355
"107" 116 -0.0820180416258292
"108" 117 -0.0816609689048632
"109" 118 -0.081251856152453
"110" 119 -0.081175202370941
"111" 120 -0.0827074010125928
"112" 121 -0.0822627588083075
"113" 122 -0.0818239647107513
"114" 123 -0.0817425863070691
"115" 124 -0.081403286818636
"116" 125 -0.0813099422344048
"117" 126 -0.0812571574016728
"118" 127 -0.0811744511604777
"119" 128 -0.0809600470920353
"120" 129 -0.0806959105735951
"121" 130 -0.0806525340118892
"122" 131 -0.0803582716475494
"123" 132 -0.0802547350457394
"124" 133 -0.0801960805460118
"125" 134 -0.0797316456594189
"126" 135 -0.0796138478405433
"127" 136 -0.0795298006550747
