"" "si"
"1" 10 0.142242903213038
"2" 11 0.142766858093894
"3" 12 0.155261255635216
"4" 13 0.153081967076944
"5" 14 0.160094796994144
"6" 15 0.163214944748995
"7" 16 0.172563409302371
"8" 17 0.180476384017455
"9" 18 0.178436441774379
"10" 19 0.181693567485059
"11" 20 0.189625756898277
"12" 21 0.197579268132766
"13" 22 0.206799690301739
"14" 23 0.212711522889158
"15" 24 0.219316081663007
"16" 25 0.210957493011455
"17" 26 0.208667276827014
"18" 27 0.213389036118937
"19" 28 0.22069921697861
"20" 29 0.189156484546357
"21" 30 0.193600200690652
"22" 31 0.200681354984993
"23" 32 0.206223958262485
"24" 33 0.212746362215739
"25" 34 0.220357623413781
"26" 35 0.22652319885762
"27" 36 0.232780784137963
"28" 37 0.235512957746559
"29" 38 0.240754345246309
"30" 39 0.244766935518244
"31" 40 0.247720563627871
"32" 41 0.25086476032937
"33" 42 0.25500124825379
"34" 43 0.253094431918915
"35" 44 0.256620177636313
"36" 45 0.259889060826797
"37" 46 0.264787175714973
"38" 47 0.268891389632219
"39" 48 0.273190611596878
"40" 49 0.275427095856452
"41" 50 0.276081388119916
"42" 51 0.280095691672415
"43" 52 0.284193463284219
"44" 53 0.286965025098908
"45" 54 0.290961110446638
"46" 55 0.291295904664424
"47" 56 0.293550797301274
"48" 57 0.296291766602471
"49" 58 0.299409727415703
"50" 59 0.301973233542573
"51" 60 0.305112411099271
"52" 61 0.303535081549945
"53" 62 0.30649309498717
"54" 63 0.308901124506557
"55" 64 0.311723759461312
"56" 65 0.315153199049835
"57" 66 0.317931655109559
"58" 67 0.321084211533308
"59" 68 0.323626274344788
"60" 69 0.320952056646564
"61" 70 0.317015443108162
"62" 71 0.318747880445903
"63" 72 0.320979193208425
"64" 73 0.321873642079592
"65" 74 0.325323264326532
"66" 75 0.328738686163294
"67" 76 0.329527715659935
"68" 77 0.331761214446533
"69" 78 0.3341534394968
"70" 79 0.336004911322583
"71" 80 0.320396812621808
"72" 81 0.322614456747231
"73" 82 0.322474956678243
"74" 83 0.318306087253841
"75" 84 0.32030270818345
"76" 85 0.32214516591482
"77" 86 0.324191293786303
"78" 87 0.327256977848107
"79" 88 0.32832117677465
"80" 89 0.329407335796585
"81" 90 0.329879092093603
"82" 91 0.331783543179627
"83" 92 0.333437388813296
"84" 93 0.332089745437046
"85" 94 0.331676534030769
"86" 95 0.333455665521124
"87" 96 0.334937169287102
"88" 97 0.337730076921694
"89" 98 0.339801297283602
"90" 99 0.339867117796436
"91" 100 0.341529402272386
"92" 101 0.342855491539465
"93" 102 0.344154012731953
"94" 103 0.345250728881154
"95" 104 0.346440361602697
"96" 105 0.347002511190284
"97" 106 0.348204605615446
"98" 107 0.349703779004032
"99" 108 0.34827702607341
"100" 109 0.349417565802278
"101" 110 0.350205190891969
"102" 111 0.3499695323451
"103" 112 0.350964708759173
"104" 113 0.351265519398786
"105" 114 0.351306279428393
"106" 115 0.351995553140696
"107" 116 0.345942653516161
"108" 117 0.346534092219001
"109" 118 0.3477670015992
"110" 119 0.348286361970529
"111" 120 0.346943334487414
"112" 121 0.34887950409606
"113" 122 0.349316037516672
"114" 123 0.34771403040607
"115" 124 0.348899630138836
"116" 125 0.347591257696802
"117" 126 0.34878420910653
"118" 127 0.349684431838961
"119" 128 0.348244037887723
"120" 129 0.349262834815909
"121" 130 0.348761824261147
"122" 131 0.348705615229162
"123" 132 0.348719763925762
"124" 133 0.347264824539305
"125" 134 0.348207486916352
"126" 135 0.348962374378703
"127" 136 0.349906491142217
"128" 137 0.351346087069303
"129" 138 0.350770566909491
"130" 139 0.351954794368744
"131" 140 0.350527187996357
"132" 141 0.351062215618909
"133" 142 0.351928821823299
"134" 143 0.352327605598033
"135" 144 0.352909178781094
"136" 145 0.352782515111988
"137" 146 0.354020164964595
"138" 147 0.35472264632373
"139" 148 0.352177795600257
"140" 149 0.352859254792372
"141" 150 0.353355717908075
"142" 151 0.353570556972904
"143" 152 0.354759223173646
"144" 153 0.355291197493543
"145" 154 0.356304997271559
"146" 155 0.356287868956692
"147" 156 0.357144181530272
"148" 157 0.358567661037452
"149" 158 0.354276077454266
"150" 159 0.354992057565084
"151" 160 0.355833537268921
"152" 161 0.356564235348652
"153" 162 0.355644096944537
"154" 163 0.356621266572792
"155" 164 0.357784258263324
"156" 165 0.359266262317816
"157" 166 0.35991313555333
"158" 167 0.360625764469331
"159" 168 0.36108760900039
"160" 169 0.347716376726674
"161" 170 0.348355337110712
"162" 171 0.348938387186805
"163" 172 0.349682039310016
"164" 173 0.350731322092624
"165" 174 0.351594404154395
"166" 175 0.351275631109453
"167" 176 0.351914360442085
"168" 177 0.352493643458731
"169" 178 0.35313721115606
"170" 179 0.353841958106894
"171" 180 0.354377671040126
"172" 181 0.355141221881351
"173" 182 0.352122536821163
"174" 183 0.352641465541322
"175" 184 0.353510870617572
"176" 185 0.353753082252776
"177" 186 0.35397791938151
"178" 187 0.354347455524073
