"analysis" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86" "87" "88" "89" "90" "91" "92" "93" "94" "95" "96" "97" "98" "99" "100" "101" "102" "103" "104" "105" "106" "107" "108" "109" "110" "111" "112" "113" "114" "115" "116" "117" "118" "119" "120" "121" "122" "123" "124" "125" "126" "127" "128" "129" "130" "131" "132" "133" "134" "135" "136" "137" "138" "139" "140" "141" "142" "143" "144" "145" "146" "147" "148" "149" "150" "151" "152" "153" "154" "155" "156" "157" "158" "159" "160" "161" "162" "163" "164" "165" "166" "167" "168"
"BK-00-JAN-398863" NA "1168342" "610299" NA "337958" NA NA "159548" NA NA NA "751445" NA NA NA "300614" NA "1077950" "900111" "211128" NA "227143" NA "180908" "2161909" "148606" "28992025" "429634" "58319199" "8724444" "114553385" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-BL-JAN-398879" NA "0" NA NA "0" NA NA "153973" "0" NA NA "0" NA "0" "349068" NA "371220" "0" "0" "204341" "2994798" "229161" "265674" "182536" "0" "146995" "0" NA "0" "0" "0" NA NA "4716531" NA "720695" "653657" "2334909" "967562" "1966268" "511383" "1542968" "196251" NA "700505" "6437343" "1814664" "65902540" "9997137" "81310876" "11623030" "12581935" "26696678" "9243081" "10518510" "14418749" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-BL-JAN-398893" "63521" "0" "0" NA NA "114733" NA "153123" "0" "75064" NA "0" NA "0" "347620" "0" "391106" "0" "0" "0" "2902601" NA "0" "174334" "0" "147330" "0" "0" "0" "0" "0" NA "134806" "0" "0" "0" "0" "0" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "11642598" "0" "0" "9071083" "0" "0" "17101076" "5659118" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-BL-JAN-398894" NA NA "0" NA "320848" NA NA "160188" "0" NA "101622" "0" NA NA NA "0" "389856" "0" "875860" NA "0" "233011" "267937" NA "0" "148927" "0" "0" "0" "0" "0" NA NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "197463" "526179" "0" "0" "1815531" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "32680887" "42073773" "2559652" "8552353" "3687182" "8124002" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-MAR-398869" "0" "0" NA NA "0" "0" "0" "167669" "0" "76668" NA "0" NA "295519" "0" "304397" "380931" "0" "0" "0" "0" NA "257897" "0" "0" "143868" "0" "406123" "0" "0" "0" NA "126413" "0" "0" "0" "0" "0" "946627" "0" "498006" "1542428" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-SC-JAN-398873" "65090" NA NA NA NA NA NA NA "559797" NA NA NA NA NA "0" NA NA "0" NA "0" "0" NA NA NA "0" "0" "0" "0" "0" "0" "0" "441913" "0" "0" "0" NA "655730" "0" "915114" "0" NA "1522040" "192727" "526005" "710810" "6502507" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "839073" NA "1405501" "13471202" "996168" "2232302" "20598546" "1237835" "1754833" "6365188" "16048694" "28439576" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-SC-JAN-398897" "62486" "0" NA NA "0" NA NA "160146" "558954" NA NA "787083" NA NA "0" "0" NA "0" "851122" "215919" "0" "0" "264685" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1483819" "0" "0" "0" "0" "0" "0" "9903265" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8043151" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-SC-JAN-398899" NA "0" NA NA "0" NA "52786" "158503" "0" NA "92787" "0" NA "286791" "0" "306338" "0" "0" "895166" "217885" "0" "229313" NA NA "0" "0" "0" "0" "0" "0" "0" "431603" "0" "0" "0" "0" "0" "0" "0" "2000227" "0" "0" "0" "522186" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1404892" "0" "0" "0" "0" "1220616" "0" "0" "16156963" "0" "0" NA "5863261" NA "1267355" "4879407" "7504012" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-SW-JAN-398855" "0" "1145946" "644242" NA "322105" "120520" "48739" NA "0" NA NA "0" "82813" "270415" "0" "0" "371617" "0" "856510" "0" "0" "222574" "0" "0" "0" "0" "0" "0" "0" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "1508343" "198758" NA "683281" "0" "1815219" "0" "0" "0" "0" "0" "0" "0" "10280289" "0" "0" "0" "0" "0" "0" "0" "0" "0" "803654" NA "0" "0" "0" "2287362" "0" "0" "0" "6302298" "0" "0" "0" "0" "5923581" "0" "0" "0" "7672863" "1863059" "32426027" "211295312" "18206056" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-SW-JAN-398869" NA "0" NA NA "0" NA NA NA "0" NA NA NA NA NA "363117" "308736" NA "0" NA "209745" "2937465" NA "0" NA "0" "149797" "0" "426667" "0" "0" "0" NA NA "0" "0" "745754" "0" "0" NA "1965867" "494036" "1484425" NA "0" "0" "0" "0" "0" "0" "0" "11334408" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2561710" "0" "0" "0" NA "0" NA "0" "983589" "2197918" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "1309619" "0" "0" "0" "0" "0" "18239068" "18955036" "1431432" "5165238" NA "125621193" "21047169" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
