"analysis" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86" "87" "88" "89" "90" "91" "92" "93" "94" "95" "96" "97" "98" "99" "100" "101" "102" "103" "104" "105" "106" "107" "108" "109" "110" "111" "112" "113" "114" "115" "116" "117" "118" "119" "120" "121" "122" "123" "124" "125" "126" "127" "128" "129" "130" "131" "132" "133" "134" "135" "136" "137" "138" "139" "140" "141" "142" "143" "144" "145" "146" "147" "148" "149" "150" "151" "152" "153" "154" "155" "156" "157" "158" "159" "160" "161" "162" "163" "164" "165" "166" "167" "168"
"BK-00-JAN-398863" NA "0.5" "0.26" NA "0.14" NA NA "0.06" NA NA NA "0.32" NA NA NA "0.13" NA "0.46" "0.38" "0.09" NA "0.09" NA "0.07" "0.93" "0.06" "12.5" "0.18" "25.1" "3.76" "49.4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-BL-JAN-398879" NA "0" NA NA "0" NA NA "0.05" "0" NA NA "0" NA "0" "0.12" NA "0.13" "0" "0" "0.07" "1.04" "0.08" "0.09" "0.06" "0" "0.05" "0" NA "0" "0" "0" NA NA "1.64" NA "0.25" "0.22" "0.81" "0.33" "0.68" "0.17" "0.53" "0.06" NA "0.24" "2.24" "0.63" "23" "3.49" "28.4" "4.06" "4.39" "9.32" "3.22" "3.67" "5.03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-BL-JAN-398893" "0.12" "0" "0" NA NA "0.22" NA "0.29" "0" "0.14" NA "0" NA "0" "0.67" "0" "0.75" "0" "0" "0" "5.62" NA "0" "0.33" "0" "0.28" "0" "0" "0" "0" "0" NA "0.26" "0" "0" "0" "0" "0" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "22.5" "0" "0" "17.5" "0" "0" "33.1" "10.9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-BL-JAN-398894" NA NA "0" NA "0.28" NA NA "0.14" "0" NA "0.09" "0" NA NA NA "0" "0.34" "0" "0.77" NA "0" "0.2" "0.23" NA "0" "0.13" "0" "0" "0" "0" "0" NA NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.17" "0.46" "0" "0" "1.6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "28.9" "37.2" "2.26" "7.58" "3.26" "7.2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-MAR-398869" "0" "0" NA NA "0" "0" "0" "1.84" "0" "0.84" NA "0" NA "3.24" "0" "3.34" "4.18" "0" "0" "0" "0" NA "2.83" "0" "0" "1.57" "0" "4.45" "0" "0" "0" NA "1.38" "0" "0" "0" "0" "0" "10.3" "0" "5.46" "16.9" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-SC-JAN-398873" "0.05" NA NA NA NA NA NA NA "0.43" NA NA NA NA NA "0" NA NA "0" NA "0" "0" NA NA NA "0" "0" "0" "0" "0" "0" "0" "0.34" "0" "0" "0" NA "0.51" "0" "0.71" "0" NA "1.19" "0.15" "0.41" "0.55" "5.1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.65" NA "1.1" "10.5" "0.78" "1.75" "16.1" "0.97" "1.37" "4.99" "12.5" "22.3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-SC-JAN-398897" "0.18" "0" NA NA "0" NA NA "0.47" "1.64" NA NA "2.31" NA NA "0" "0" NA "0" "2.5" "0.63" "0" "0" "0.78" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4.37" "0" "0" "0" "0" "0" "0" "29.1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23.6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-SC-JAN-398899" NA "0" NA NA "0" NA "0.08" "0.24" "0" NA "0.14" "0" NA "0.43" "0" "0.46" "0" "0" "1.36" "0.33" "0" "0.35" NA NA "0" "0" "0" "0" "0" "0" "0" "0.66" "0" "0" "0" "0" "0" "0" "0" "3.05" "0" "0" "0" "0.79" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2.14" "0" "0" "0" "0" "1.86" "0" "0" "24.7" "0" "0" NA "8.96" NA "1.93" "7.46" "11.4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-SW-JAN-398855" "0" "0.36" "0.2" NA "0.1" "0.03" "0.01" NA "0" NA NA "0" "0.02" "0.08" "0" "0" "0.12" "0" "0.27" "0" "0" "0.07" "0" "0" "0" "0" "0" "0" "0" "0" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.48" "0.06" NA "0.22" "0" "0.58" "0" "0" "0" "0" "0" "0" "0" "3.3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.25" NA "0" "0" "0" "0.73" "0" "0" "0" "2.02" "0" "0" "0" "0" "1.9" "0" "0" "0" "2.46" "0.59" "10.4" "67.9" "5.85" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"BK-SW-JAN-398869" NA "0" NA NA "0" NA NA NA "0" NA NA NA NA NA "0.14" "0.12" NA "0" NA "0.08" "1.16" NA "0" NA "0" "0.05" "0" "0.16" "0" "0" "0" NA NA "0" "0" "0.29" "0" "0" NA "0.77" "0.19" "0.58" NA "0" "0" "0" "0" "0" "0" "0" "4.48" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1.01" "0" "0" "0" NA "0" NA "0" "0.38" "0.87" "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0.51" "0" "0" "0" "0" "0" "7.22" "7.5" "0.56" "2.04" NA "49.7" "8.33" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
